,world_x,world_y,eye_x,eye_y
0,346.0,276.0,328.0,265.0
1,300.0,272.0,376.0,246.0
2,199.0,261.0,489.0,229.0
3,318.0,267.0,347.0,235.0
4,428.0,271.0,237.0,275.0
5,258.0,283.0,431.0,250.0
6,294.0,319.0,387.0,282.0
7,313.0,242.0,353.0,216.0
8,347.0,224.0,314.0,214.0
9,248.0,205.0,419.0,180.0
10,310.0,300.0,366.0,269.0
11,450.0,202.0,212.0,225.0
12,379.0,269.0,269.0,247.0
13,214.0,218.0,461.0,191.0
14,311.0,298.0,357.0,265.0
15,344.0,170.0,305.0,170.0
16,287.0,262.0,391.0,235.0
17,457.0,224.0,205.0,254.0
18,311.0,221.0,350.0,216.0
19,273.0,356.0,420.0,311.0
20,243.0,293.0,430.0,254.0
21,295.0,276.0,310.0,228.0
22,349.0,216.0,305.0,210.0
23,255.0,342.0,430.0,283.0
24,298.0,258.0,365.0,239.0
25,349.0,253.0,306.0,243.0
26,281.0,279.0,412.0,247.0
27,254.0,245.0,446.0,210.0
28,333.0,199.0,320.0,188.0
29,324.0,249.0,328.0,218.0
30,307.0,216.0,347.0,199.0
31,353.0,276.0,299.0,250.0
32,318.0,300.0,351.0,264.0
33,249.0,258.0,431.0,221.0
34,305.0,222.0,343.0,195.0
35,247.0,287.0,450.0,262.0
36,344.0,282.0,322.0,272.0
37,406.0,173.0,238.0,181.0
38,382.0,247.0,269.0,247.0
39,333.0,305.0,338.0,283.0
40,362.0,273.0,300.0,262.0
41,210.0,306.0,472.0,268.0
42,298.0,294.0,380.0,253.0
43,373.0,283.0,283.0,267.0
44,347.0,172.0,305.0,167.0
45,258.0,291.0,441.0,257.0
46,335.0,359.0,364.0,315.0
47,203.0,334.0,472.0,269.0
48,371.0,261.0,274.0,243.0
49,302.0,240.0,369.0,213.0
50,245.0,284.0,470.0,264.0
51,299.0,284.0,383.0,249.0
52,366.0,195.0,278.0,195.0
53,310.0,254.0,369.0,256.0
54,274.0,291.0,409.0,256.0
55,393.0,302.0,278.0,286.0
56,248.0,229.0,360.0,205.0
57,361.0,235.0,298.0,225.0
58,450.0,232.0,207.0,253.0
59,444.0,250.0,210.0,260.0
60,274.0,301.0,406.0,254.0
61,353.0,231.0,295.0,202.0
62,211.0,308.0,474.0,262.0
63,342.0,339.0,332.0,311.0
64,227.0,199.0,452.0,184.0
65,223.0,301.0,455.0,250.0
66,350.0,236.0,298.0,232.0
67,307.0,218.0,364.0,199.0
68,402.0,254.0,251.0,256.0
69,294.0,249.0,377.0,228.0
70,294.0,254.0,437.0,222.0
71,274.0,284.0,402.0,239.0
72,335.0,284.0,340.0,262.0
73,292.0,195.0,362.0,176.0
74,318.0,202.0,336.0,189.0
75,258.0,238.0,423.0,207.0
76,342.0,360.0,354.0,317.0
77,303.0,287.0,368.0,271.0
78,343.0,298.0,333.0,283.0
79,248.0,261.0,417.0,217.0
80,251.0,181.0,409.0,169.0
81,276.0,218.0,406.0,214.0
82,362.0,185.0,280.0,192.0
83,353.0,335.0,336.0,316.0
84,331.0,253.0,353.0,222.0
85,223.0,302.0,467.0,254.0
86,300.0,253.0,369.0,227.0
87,343.0,189.0,295.0,192.0
88,305.0,300.0,379.0,264.0
89,369.0,232.0,281.0,227.0
90,295.0,260.0,371.0,222.0
91,251.0,238.0,439.0,209.0
92,307.0,304.0,366.0,271.0
93,294.0,203.0,369.0,200.0
94,390.0,170.0,261.0,180.0
95,369.0,245.0,289.0,239.0
96,309.0,214.0,353.0,196.0
97,258.0,293.0,433.0,250.0
98,349.0,227.0,294.0,213.0
99,361.0,309.0,318.0,294.0
100,351.0,242.0,316.0,231.0
101,207.0,330.0,470.0,276.0
102,314.0,239.0,369.0,239.0
103,361.0,251.0,298.0,227.0
104,343.0,217.0,314.0,202.0
105,272.0,363.0,416.0,302.0
106,310.0,249.0,365.0,247.0
107,339.0,286.0,354.0,262.0
108,221.0,200.0,453.0,184.0
109,369.0,200.0,274.0,205.0
110,314.0,275.0,375.0,245.0
111,299.0,291.0,482.0,232.0
112,420.0,300.0,267.0,283.0
113,400.0,256.0,245.0,267.0
114,292.0,283.0,402.0,246.0
115,362.0,235.0,285.0,224.0
116,369.0,271.0,291.0,271.0
117,307.0,262.0,373.0,267.0
118,248.0,229.0,420.0,207.0
119,302.0,246.0,350.0,233.0
120,247.0,203.0,419.0,177.0
121,398.0,257.0,238.0,260.0
122,357.0,202.0,294.0,210.0
123,354.0,306.0,311.0,289.0
124,294.0,320.0,389.0,282.0
125,372.0,275.0,285.0,271.0
126,355.0,309.0,307.0,298.0
127,311.0,278.0,361.0,254.0
128,296.0,211.0,357.0,181.0
129,259.0,269.0,423.0,231.0
130,284.0,271.0,387.0,236.0
131,295.0,250.0,373.0,207.0
132,295.0,294.0,376.0,254.0
133,346.0,264.0,309.0,247.0
134,343.0,306.0,329.0,298.0
135,238.0,293.0,442.0,251.0
136,313.0,233.0,349.0,217.0
137,398.0,294.0,270.0,287.0
138,360.0,233.0,294.0,231.0
139,333.0,231.0,318.0,225.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0
